unit,sex,age,region,year,value
YR,F,Y1,CZ,2020,80.5
YR,F,Y1,CZ,2019,81.4
YR,F,Y1,CZ,2018,81.2
YR,F,Y1,CZ,2017,81.2
YR,F,Y1,CZ,2016,81.3
YR,F,Y1,CZ,2015,80.8
YR,F,Y1,CZ,2014,81.1
YR,F,Y1,CZ,2013,80.5
YR,F,Y1,CZ,2012,80.4
YR,F,Y1,CZ,2011,80.3
YR,F,Y1,CZ,2010,80.1
YR,F,Y1,CZ,2009,79.7
YR,F,Y1,CZ,2008,79.7
YR,F,Y1,CZ,2007,79.4
YR,F,Y1,CZ,2006,79.1
YR,F,Y1,CZ,2005,78.5
YR,F,Y1,CZ,2004,78.4
YR,F,Y1,CZ,2003,77.8
YR,F,Y1,CZ,2002,78.0
YR,F,Y1,CZ,2001,77.8
YR,F,Y1,CZ,2000,77.7
YR,F,Y1,CZ,1999,77.6
YR,F,Y1,CZ,1998,77.5
YR,F,Y1,CZ,1997,77.0
YR,F,Y1,CZ,1996,76.9
YR,F,Y1,CZ,1995,76.2
YR,F,Y1,CZ,1994,76.3
YR,F,Y1,CZ,1993,76.1
YR,F,Y1,CZ,1992,75.9
YR,F,Y1,CZ,1991,75.5
YR,F,Y1,CZ,1990,75.2
YR,F,Y1,CZ,1989,75.1
YR,F,Y1,CZ,1988,75.2
YR,F,Y1,CZ,1987,75.0
YR,F,Y1,CZ,1986,74.5
YR,F,Y1,CZ,1985,74.6
YR,F,Y1,CZ,1984,74.5
YR,F,Y1,CZ,1983,74.2
YR,F,Y1,CZ,1982,74.4
YR,F,Y1,CZ,1981,74.4
YR,F,Y1,CZ,1980,74.0
YR,F,Y1,CZ,1979,74.4
YR,F,Y1,CZ,1978,74.4
YR,F,Y1,CZ,1977,74.4
YR,F,Y1,CZ,1976,74.5
YR,F,Y1,CZ,1975,74.3
YR,F,Y1,CZ,1974,73.9
YR,F,Y1,CZ,1973,74.0
YR,F,Y1,CZ,1972,74.1
YR,F,Y1,CZ,1971,73.7
YR,F,Y1,CZ,1970,73.4
YR,F,Y1,CZ,1969,73.6
YR,F,Y1,CZ,1968,73.9
YR,F,Y1,CZ,1967,74.2
YR,F,Y1,CZ,1966,74.2
YR,F,Y1,CZ,1965,74.0
YR,F,Y1,CZ,1964,74.0
YR,F,Y1,CZ,1963,73.9
YR,F,Y1,CZ,1962,73.3
YR,F,Y1,CZ,1961,73.8
YR,F,Y1,CZ,1960,73.7
